"","","","","","","","","","","","","","","","","","SHT update","","","","","","","","SHT update","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No.","INDEX1","INDEX2","Customer","Fab","Tool","SS P/N","SS S/N","PO","0247#","수주번호","Note","S/D","Login date","Incoming date","Repair
Location","IONES->SHT","SHT->IONES","Arrival date
in iONES","CLN
Finsh date","Delivery
date","PM Reason","Arrived 
at SHT","Process Needed","Repaired","Refurb/replace reason","SHT Remark ","SHT PO","","Recycle
Count
(T-R-C)","Total wafer","Wafer Pass Copper","Wafer Pass
Nickel","WaferPass Tin-Silver","Wafer Pass 
Tin","Wafer Pass
Gold","Amp-Min Copper            ","Amp-Min 
Nickel","Amp-Min Tin-Silver","Amp-Min 
Tin","Amp-Min 
Gold","History file Date","Pass or Fail","DMR#","NC report content
(Auto // Need to update ""DMR Ctrl CV"" Sheet)","Status","Replcaement part","Repacement PN","Wafer Seal","Contact pin","Cotnact pin
Q'ty","기본
Screw","Screw
Q'ty","Screw other","Screw other
Q'ty","Retainer","Lead in","Lead in Q'ty"
"9414","130895009C","130895009-R0C","Samsung","L16","18150(SEC)","A0503419","130895009","4517584384","0247-07525","240110-071-1","","","45301","45301","","","","","45308","45309","SS Plate UP","","","","","","","","1-0-1","62","62","","","62","","996.67","","","215.43","","","","","","","","","","","","","","","","","",""
"9429","137485319C","137485319-R0C","Hynix","","7022(Hynix)","A0506293","137485319","4517592002","0247-05612","240111-072-1","","","45302","45302","","","","","45308","45309","Safeseal PM Counts Reach","","","","","","","","1-0-1","700","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9430","193585109C","193585109-R0C","Hynix","","40383(Hynix)","A0506293","193585109","4517592005","0247-05612","240111-072-1","","","45302","45302","","","","","45308","45309","","","","","","","","","1-0-1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9409","178290301C","178290301-R0C","Hynix","","40383(Hynix)","A0506293","178290301","4517584313","0247-05612","240110-072-2","","","45301","45301","","","","","45309","45310","SS Plate UP","","","","","","","","1-0-1","576","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9410","162761405C","162761405-R0C","Hynix","","40383(Hynix)","A0506293","162761405","4517577730","0247-05612","240110-072-3","","","45301","45301","","","","","45309","45310","wafer broken","","","","","","","","1-0-1","156","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9411","194118903C","194118903-R0C","Hynix","","40383(Hynix)","A0506293","194118903","4517577732","0247-05612","240110-072-4","","","45301","45301","","","","","45309","45310","SS Plate UP","","","","","","","","1-0-1","931","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9412","193585102C","193585102-R0C","Hynix","","40383(Hynix)","A0506293","193585102","4517577729","0247-05612","240110-072-5","","","45301","45301","","","","","45309","45310","SS Plate UP","","","","","","","","1-0-1","550","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9442","130895039C","130895039-R0C","Samsung","L16","18150(SEC)","A0503419","130895039","4517605606","0247-07525","240115-071-2","","","45306","45306","","","","","45309","45310","SS Plate UP","","","","","","","","1-0-1","296","296","","","296","","4754","","","1024","","","","","","","","","","","","","","","","","",""
"9444","124588321C","124588321-R0C","Samsung","L16","10393(SEC)","A0503419","124588321","4517605642","0247-07525","240115-071-4","","","45306","45306","","","","","45309","45310","SS Plate UP","","","","","","","","2-0-2","1238","1238","","","1238","","19561","","","4207","","","","","","","","","","","","","","","","","",""
"9445","124588312C","124588312-R0C","Samsung","L16","18150(SEC)","A0503419","124588312","4517605608","0247-07525","240115-071-5","","","45306","45306","","","","","45309","45310","SS Plate UP","","","","","","","","1-0-1","248","248","","","248","","4016.17","","","864.88","","","","","","","","","","","","","","","","","",""
"9448","130895038C","130895038-R0C","Samsung","L16","18150(SEC)","A0503419","130895038","4517605615","0247-07525","240115-071-8","","","45306","45306","","","","","45309","45310","SS Plate UP","","","","","","","","1-0-1","301","301","","","301","","4872.56","","","1040.69","","","","","","","","","","","","","","","","","",""
"9447","129499710C","129499710-R0C","Samsung","L16","10393(SEC)","A0503419","129499710","4517605611","0247-07525","240115-071-7","","","45306","45306","","","","","45310","45311","SS Plate UP","","","","","","","","1-0-1","374","374","","","374","","5966.97","","","1283.75","","","","","","","","","","","","","","","","","",""
"9449","121881904C","121881904-R0C","Hynix","","7022(Hynix)","A0503421","121881904","4517599462","0247-04585","240115-072-1","","","45306","45306","","","","","45310","45311","SS Plate UP","","","","","","","","1-0-1","44","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9451","193585112C","193585112-R0C","Hynix","","40383(Hynix)","A0506293","193585112","4517599465","0247-05612","240115-072-3","","","45306","45306","","","","","45310","45311","SS Plate UP","","","","","","","","1-0-1","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9452","193585110C","193585110-R0C","Hynix","","21384(Hynix)","A0506293","193585110","4517599467","0247-05612","240115-072-4","","","45306","45306","","","","","45310","45311","Safeseal PM Counts Reach","","","","","","","","1-0-1","1000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9453","193585118C","193585118-R0C","Hynix","","40383(Hynix)","A0506293","193585118","4517599459","0247-05612","240115-072-5","","","45306","45306","","","","","45310","45311","SS Plate UP","","","","","","","","1-0-1","115","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9454","160277819C","160277819-R0C","Hynix","","51640(Hynix)","A0506293","160277819","4517599458","0247-05612","240115-072-6","","","45306","45306","","","","","45310","45311","Safeseal PM Counts Reach","","","","","","","","1-0-1","1000","","1000","","","1000","","","","","","","","","","","","","","","","","","","","","",""
"9455","173605601C","173605601-R0C","Hynix","","40383(Hynix)","A0506293","173605601","4517599450","0247-05612","240115-072-7","","","45306","45306","","","","","45310","45311","SS Plate UP","","","","","","","","1-0-1","857","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9456","137485303C","137485303-R0C","Hynix","","40383(Hynix)","A0506293","137485303","4517599456","0247-05612","240115-072-8","","","45306","45306","","","","","45310","45311","SS Plate UP","","","","","","","","1-0-1","113","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9457","127487001C","127487001-R0C","Hynix","","40383(Hynix)","A0506293","127487001","4517599454","0247-05612","240115-072-9","","","45306","45306","","","","","45310","45311","SS Plate UP","","","","","","","","1-0-1","114","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9458","160277817C","160277817-R0C","Hynix","","40383(Hynix)","A0506293","160277817","4517599460","0247-05612","240115-072-10","","","45306","45306","","","","","45310","45311","SS Plate UP","","","","","","","","1-0-1","173","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9459","127487024C","127487024-R0C","Hynix","","51640(Hynix)","A0506293","127487024","4517599463","0247-05612","240115-072-11","","","45306","45306","","","","","45310","45311","Safeseal PM Counts Reach","","","","","","","","1-0-1","1000","","1000","","","1000","","","","","","","","","","","","","","","","","","","","","",""
"9460","178290304C","178290304-R0C","Hynix","","40383(Hynix)","A0506293","178290304","4517599470","0247-05612","240115-072-12","","","45306","45306","","","","","45310","45311","SS Plate UP","","","","","","","","1-0-1","84","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9461","137079706C","137079706-R0C","Hynix","","21384(Hynix)","A0506293","137079706","4517599451","0247-05612","240115-072-13","","","45306","45306","","","","","45310","45311","SS Plate UP","","","","","","","","1-0-1","392","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9471","129499608C","129499608-R0C","Hynix","","7022(Hynix)","A0506293","129499608","4517613021","0247-05612","240116-072-10","","","45307","45307","","","","","45310","45311","SS Plate UP","","","","","","","","1-0-1","86","86","86","","86","","","","","","","","","","","","","","","","","","","","","","",""
"9312","171644931R","171644931R","Samsung","P2","45681(SEC)","A0496495","171644931","4517543541","0247-06824","240103-071-1","","2","45296","45294","SHT","45296","45308","45313","","45314","SS Plate UP","45300","Chem Soak","","","","PO24010500033","","1-1-0","1556","1556","","","1556","","","","","","","","","","","","","","","","","","","","","","",""
"9313","171156010R","171156010R","Samsung","P2","45681(SEC)","A0496495","171156010","4517543456","0247-06824","240103-071-2","","2","45296","45294","SHT","45296","45308","45313","","45314","SS Plate UP","45300","Chem Soak","","","","PO24010500032","","1-1-0","195","195","","","195","","","","","","","","","","","","","","","","","","","","","","",""
"9314","173426301R","173426301R","Samsung","P2","45681(SEC)","A0496495","173426301","4517543431","0247-06824","240103-071-3","","2","45296","45294","SHT","45296","45308","45313","","45314","SPC fail","45300","Refurb","contact","contact missing *1","contact A0477606","PO24010500034","","1-1-0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
